Park Name,Latitude,Longitude,State
Abraham Lincoln Birthplace National Historical Park,37.5320335,-85.733899,KY
Acadia National Park,44.3385559,-68.2733346,ME
Adams National Historical Park,42.2521218,-71.0033201,MA
African American Civil War Memorial,38.916303,-77.025317,DC
African Burial Ground National Monument,40.7145049,-74.0043973,NY
Agate Fossil Beds National Monument,42.4252103,-103.7342402,NE
Ala Kahakai National Historic Trail,19.6868071,-156.0347607,HI
Alagnak Wild River,59.0134287,-156.1181312,AK
Alcatraz Island,37.8269775,-122.4229555,CA
Alibates Flint Quarries National Monument,35.5836092,-101.6698299,TX
Allegheny Portage Railroad National Historic Site,40.457305,-78.5492567,PA
American Memorial Park,15.2160903,145.7200674,MP
Amistad National Recreation Area,29.4955775,-100.9952685,TX
Andersonville National Historic Site,32.2002948,-84.1303207,GA
Andrew Johnson National Historic Site,36.1629374,-82.8295391,TN
Aniakchak National Monument and Preserve,56.903644,-158.0989777,AK
Antietam National Battlefield,39.4598731,-77.742294,MD
Apostle Islands National Lakeshore,46.9302046,-90.6333321,WI
Appalachian National Scenic Trail,38.9113559,-78.0529206,VA
Appomattox Court House National Historical Park,37.3775201,-78.7960069,VA
Arches National Park,38.733081,-109.5925139,UT
Arkansas Post National Memorial,34.0210974,-91.3478851,AR
Arlington House:  The Robert E. Lee Memorial,38.8811673,-77.0726163,VA
Assateague Island National Seashore,38.0607973,-75.2362382,MD
Aztec Ruins National Monument,36.8372086,-108.000093,NM
Badlands National Park,43.8553804,-102.3396912,SD
Bandelier National Monument,35.7646658,-106.3228338,NM
Belmont-Paul Women's Equality National Monument,38.892316,-77.003768,NE
Bent's Old Fort National Historic Site,38.0404402,-103.4295308,CO
Bering Land Bridge National Preserve,65.9258669,-164.4377877,AK
Capitol Reef National Park,38.3669703,-111.2615042,UT
Capulin Volcano National Monument,36.7810744,-103.9695127,NM
Carl Sandburg Home National Historic Site,35.2714108,-82.4472471,NC
Carlsbad Caverns National Park,32.1478553,-104.5567138,NM
Carter G. Woodson Home National Historic Site,38.9108164,-77.0242075,DC
Casa Grande Ruins National Monument,32.9954589,-111.5355282,AZ
Castillo De San Marcos National Monument,29.8978618,-81.3115187,FL
Castle Clinton National Monument,40.7034401,-74.0168023,NY
Castle Mountains National Monument ,35.3169022,-115.0886679,CA
Catoctin Mountain Park,39.633851,-77.448212,MD
Cedar Breaks National Monument,37.6359544,-112.8450248,UT
Cedar Creek and Belle Grove National Historical Park,39.0215844,-78.2977581,VA
Ceasar E. Chavez National Monument,35.2234505,-118.5590097,CA
Chaco Culture National Historical Park,36.0529998,-107.955924,NM
Chamizal National Memorial,31.7671438,-106.4542166,TX
Channel Islands National Park,33.9960737,-119.7691632,CA
Charles Pinckney National Historic Site,32.8455749,-79.8239599,SC
Charles Young Buffalo Soldiers National Monument,39.7072251,-83.8901969,OH
Chattahoochee River National Recreation Area,33.9872783,-84.3245709,GA
Chesapeake and Ohio Canal National Historical Park,38.9733263,-77.1772123,OH
Chickamauga & Chattanooga National Military Park,34.8711879,-85.2907896,GA
Chickasaw National Recreation Area,34.4615433,-97.0064043,OK
Chimney Rock National Historic Site,41.7029458,-103.3486213,NE
Chiricahua National Monument,32.0135714,-109.3422953,AZ
Christiansted National Historic Site,17.7471645,-64.7021636,VI
City of Rocks National Reserve,42.0774026,-113.7037797,ID
Clara Barton National Historic Site,38.9672478,-77.140781,MD
Colonial National Historical Park,37.2291337,-76.5039033,VA
Colorado National Monument,39.0575219,-108.6938999,CO
Congaree National Park,33.791374,-80.7693275,SC
Constitution Gardens,38.8911268,-77.043203,DC
Coronado National Memorial,31.3458652,-110.2537755,AZ
Cowpens National Battlefield,35.1367361,-81.8181625,SC
Crater Lake National Park,42.8684411,-122.1684785,OR
Craters of the Moon National Monument and Preserve,43.2058067,-113.5001702,ID
Cumberland Gap National Historical Park,36.6274309,-83.6215173,KY
Cumberland Island National Seashore,30.8659411,-81.4505294,GA
Curecanti National Recreation Area,38.4657461,-107.1666799,CO
Cuyahoga Valley National Park,41.2808248,-81.567812,OH
Dayton Aviation Heritage National Historical Park,39.7559858,-84.2116472,OH
De Soto National Memorial,27.5216976,-82.6434516,FL
Death Valley National Park,36.5053891,-117.0794078,CA
Delaware National Scenic River,41.6264712,-75.0501317,PA
Delaware Water Gap National Recreation Area,41.1043946,-74.9442586,PA
Denali National Park and Preserve,63.1148002,-151.1926057,AK
Devils Postpile National Monument,37.6251062,-119.0849506,CA
Devils Tower National Monument,44.5902098,-104.7146168,WY
Dinosaur National Monument,40.4927109,-108.9416357,UT
Dry Tortugas National Park,24.628477,-82.8731874,FL
Ebey's Landing National Historical Reserve,48.1935601,-122.7113548,WA
Edgar Allan Poe National Historic Site,39.9620334,-75.1498991,PA
Effigy Mounds National Monument,43.089214,-91.2006419,IA
Eisenhower National Historic Site,39.7939108,-77.2633159,PA
El Malpais National Monument,34.9002575,-107.9942365,NM
El Morro National Monument,35.0396358,-108.3450813,NM
Eleanor Roosevelt National Historic Site,41.7631389,-73.8990976,NY
Ellis Island National Monument,40.6892494,-74.0445004,NY
Erie Canalway National Heritage Corridor,42.7843123,-73.6814312,NY
Eugene O'Neill National Historic Site,37.8259226,-122.0272732,CA
Everglades National Park,25.2866155,-80.8986509,FL
Federal Hall National Memorial,40.7073993,-74.0102088,NY
Fire Island National Seashore,40.6553691,-73.1034307,NY
First Ladies National Historic Site,40.797618,-81.375341,OH
First State National Historical Park,39.659815,-75.563597,DE
Flight 93 National Memorial,40.0552262,-78.9005338,PA
Florissant Fossil Beds National Monument,38.9136173,-105.2854076,CO
Ford's Theatre National Historic Site,38.89667,-77.0256687,DC
Fort Bowie National Historic Site,32.156556,-109.452661,AZ
Fort Caroline National Memorial,30.3869064,-81.5003672,FL
Fort Davis National Historic Site,30.5974177,-103.8917227,TX
Fort Donelson National Battlefield,36.4953082,-87.8569525,TN
Fort Frederica National Monument,31.223111,-81.389279,GA
Fort Laramie National Historic Site,42.2036873,-104.5560183,WY
Fort Larned National Historic Site,38.1828653,-99.2181425,KS
Fort Matanzas National Monument,29.7151961,-81.2392182,FL
Fort McHenry National Monument and Historic Shrine,39.2632813,-76.5799192,MD
Fort Monroe National Monument,37.0040553,-76.3073197,VA
Fort Necessity National Battlefield,39.8152283,-79.5887828,PA
Fort Point National Historic Site,37.8106185,-122.4770527,CA
Fort Pulaski National Monument,32.02706,-80.8904868,GA
Fort Raleigh National Historic Site,35.9362116,-75.7097314,NC
Fort Scott National Historic Site,37.8436307,-94.704733,KS
Fort Smith National Historic Site,35.3883026,-94.4297647,AR
Fort Stanwix National Monument,43.210587,-75.455292,NY
Fort Sumter National Monument,32.7523476,-79.8746925,SC
Fort Union National Monument,35.9074812,-105.0131863,NM
Fort Union Trading Post National Historic Site,47.9994421,-104.0405818,ND
Fort Vancouver National Historic Site,45.6257476,-122.6550957,WA
Fort Washington Park,38.7126284,-77.0246889,MD
Fossil Butte National Monument,41.8581804,-110.7658867,WY
Franklin Delano Roosevelt Memorial,38.8834579,-77.0429536,DC
Frederick Douglass National Historic Site,38.8632895,-76.9851973,DC
Frederick Law Olmsted National Historic Site,42.3254659,-71.1320319,MA
Fredericksburg and Spotsylvania National Military Park,38.2938385,-77.4673998,VA
Freedom Riders National Monument,33.6350688,-85.9084521,AL
Friendship Hill National Historic Site,39.7776149,-79.9314768,PA
Gates of The Arctic National Park and Preserve,67.9146297,-153.4637908,AK
Gateway Arch National Park,38.6246855,-90.1854426,MO
Gateway National Recreation Area,40.4608251,-73.9929605,NJ
Gauley River National Recreation Area,38.2089655,-81.01473,WV
General Grant National Memorial,40.8134045,-73.9630671,NY
George Rogers Clark National Historical Park,38.6791974,-87.5355674,IN
George Washington Birthplace National Monument,38.1838617,-76.9201563,VA
George Washington Carver National Monument,36.9873287,-94.3556725,MO
George Washington Memorial Parkway,38.8435735,-77.0490823,DC
Gettysburg National Military Park,39.8132494,-77.233732,PA
Gila Cliff Dwellings National Monument,33.2272903,-108.2722727,NM
Glacier Bay National Park and Preserve,58.6658073,-136.9002147,AK
Glacier National Park,48.7596128,-113.7870225,MT
Glen Canyon National Recreation Area,37.3869892,-110.8428225,UT
Golden Gate National Recreation Area,37.8480359,-122.5295263,CA
Golden Spike National Historic Site,41.6174219,-112.5509325,UT
Governors Island National Monument,40.6919879,-74.015995,NY
Grand Canyon National Park,36.1069652,-112.1129972,AZ
Grand Canyon Parashant National Monument,36.4017714,-113.6988568,AZ
Grand Portage National Monument,47.9607126,-89.6865861,MN
Grand Teton National Park,43.7904282,-110.6817627,WY
Grant-Kohrs Ranch National Historic Site,46.406069,-112.736682,MT
Great Basin National Park,38.983333,-114.3,NV
Great Egg Harbor Scenic and Recreational River,39.3042822,-74.6496034,NJ
Great Sand Dunes National Park and Preserve,37.7915959,-105.5943276,CO
Great Smoky Mountains National Park,35.6117644,-83.4895449,TN
Greenbelt Park,38.983031,-76.9011427,MD
Guadalupe Mountains National Park,31.94519,-104.8725221,TX
Guilford Courthouse National Military Park,36.1314163,-79.8465338,NC
Gulf Islands National Seashore,30.3918514,-88.791067,MS
Gullah/Geechee Cultural Heritage Corridor ,32.742179,-80.038953,SC
Hagerman Fossil Beds National Monument,42.7815943,-114.9523853,ID
Haleakala National Park,20.7203826,-156.1551524,HI
Hamilton Grange National Memorial,40.8213537,-73.9473103,NY
Hampton National Historic Site,39.4163289,-76.5876319,MD
Harpers Ferry National Historical Park,39.3228225,-77.7292072,WV
Harriet Tubman National Historical Park ,42.9115252,-76.5637341,NY
Harriet Tubman Underground Railroad National Historical Park,38.4500992,-76.1375811,MD
Harry S Truman National Historic Site,39.093754,-94.4233898,MO
Hawai'i Volcanoes National Park,19.4193697,-155.2884969,HI
Herbert Hoover National Historic Site,41.6689744,-91.3477571,IA
Hohokam Pima National Monument,33.1889911,-111.9224452,AZ
Home of Franklin D Roosevelt National Historic Site,41.7698549,-73.9326457,NY
Homestead National Monument of America,40.2913841,-96.8357934,NE
Honouliuli National Monument,21.3916667,-158.0597222,HI
Hopewell Culture National Historical Park,39.3761064,-83.0065097,OH
Hopewell Furnace National Historic Site,40.2097267,-75.7691263,PA
Horseshoe Bend National Military Park,32.9783223,-85.7310076,AL
Hot Springs National Park,34.5216915,-93.0423545,AR
Hovenweep National Monument,37.3837623,-109.0726022,CO
Hubbell Trading Post National Historic Site,35.709401,-109.5584646,AZ
Independence National Historical Park,39.9495312,-75.1497319,PA
Indiana Dunes National Lakeshore,41.6501162,-87.0546556,IN
Isle Royale National Park,47.9958654,-88.9092899,MI
James A Garfield National Historic Site,41.6639783,-81.350977,OH
Jean Lafitte National Historic Park & Preserve,29.8116363,-90.141294,LA
Jewel Cave National Monument,43.7303594,-103.8290512,SD
Jimmy Carter National Historic Site,32.0365107,-84.3925979,GA
John D Rockefeller Jr Memorial Parkway,44.0825753,-110.6812426,WY
John Day Fossil Beds National Monument,44.5445527,-119.6319641,OR
John F Kennedy National Historic Site,42.346965,-71.123267,MA
John Muir National Historic Site,37.9921676,-122.1309704,CA
Johnstown Flood National Memorial,40.3497647,-78.7711604,PA
Joshua Tree National Park,33.873415,-115.9009923,CA
Juan Bautista De Anza National Historic Trail,36.8317863,-121.5337222,CA
Kalaupapa National Historical Park,21.1924062,-156.9665093,HI
Kaloko-Honokohau National Historical Park,19.6787061,-156.0216995,HI
Katahdin Woods and Waters National Monument,45.8789746,-68.7475189,ME
Katmai National Park and Preserve,58.5975286,-154.6937285,AK
Kenai Fjords National Park,60.0437764,-149.8163645,AK
Kenilworth Park & Aquatic Gardens,38.912596,-76.9418223,NE
Kennesaw Mountain National Battlefield Park,33.9830727,-84.5779283,GA
Keweenaw National Historical Park,47.2423094,-88.448106,MI
Kings Mountain National Military Park,35.1411845,-81.3765679,SC
Klondike Gold Rush National Historical Park,47.5993865,-122.3320228,WA
Knife River Indian Villages National Historic Site,47.3314188,-101.3856559,ND
Kobuk Valley National Park,67.3356197,-159.1243161,AK
Korean War Veterans Memorial,38.8878219,-77.0477897,DC
Lake Chelan National Recreation Area,48.352344,-120.6855771,WA
Lake Clark National Park and Preserve,60.4126957,-154.3234955,AK
Lake Mead National Recreation Area,36.0973319,-114.4250949,AZ
Lake Meredith National Recreation Area,35.6438165,-101.5863058,TX
Lake Roosevelt National Recreation Area,48.1011309,-118.246639,WA
Lassen Volcanic National Park,40.49766,-121.4206552,CA
Lava Beds National Monument,41.758837,-121.5266641,CA
Lewis and Clark National Historical Park,46.1298421,-123.8903148,OR
Lincoln Boyhood National Memorial,38.1129788,-86.9958632,IN
Lincoln Home National Historic Site,39.7973533,-89.6449254,IL
Lincoln Memorial,38.8892686,-77.050176,DC
Little Bighorn Battlefield National Monument,45.5700984,-107.4324314,MT
Little River Canyon National Preserve,34.3883958,-85.62538,AL
Little Rock Central High School National Historic Site,34.7381955,-92.2974166,AR
Longfellow House - Washington's Headquarters National Historic Site,42.3769262,-71.1263814,MA
Lowell National Historical Park,42.6472093,-71.3095624,MA
Lyndon B Johnson National Historical Park,30.2373905,-98.6292057,TX
Lyndon Baines Johnson Memorial Grove on the Potomac,38.8774239,-77.0500641,DC
Maggie L Walker National Historic Site,37.547695,-77.4373283,VA
Mammoth Cave National Park,37.1869978,-86.100528,KT
Manassas National Battlefield Park,38.8134115,-77.5221678,VA
Manhattan Project National Historical Park,35.8824504,-106.3020184,NM
Manzanar National Historic Site,36.7272288,-118.1527894,CA
Marsh - Billings - Rockefeller National Historical Park,43.6328491,-72.5400924,VT
Martin Luther King Jr National Historic Site,33.7563496,-84.3734309,NE
Martin Luther King  Jr. Memorial,38.8862302,-77.0442344,DC
Martin Van Buren National Historic Site,42.3697825,-73.7041742,NY
Mary McLeod Bethune Council House National Historic Site,38.9081761,-77.030795,DC
Mesa Verde National Park,37.2308729,-108.4618335,CO
Minidoka National Historic Site,42.6779139,-114.2512011,ID
Minute Man National Historical Park,42.4579978,-71.3215205,MA
Minuteman Missile National Historic Site,43.844547,-101.9011854,SD
Mississippi National River and Recreation Area,44.942534,-93.098819,MN
Missouri National Recreational River,43.080505,-98.3138214,MS
Mojave National Preserve,35.155183,-115.4483414,CA
Monocacy National Battlefield,39.3725838,-77.398982,MD
Montezuma Castle National Monument,34.6115755,-111.8349854,AZ
Moores Creek National Battlefield,34.4577897,-78.109585,NC
Morristown National Historical Park,40.7648452,-74.5316807,NJ
Mount Rainier National Park,46.8799663,-121.7269094,WA
Mount Rushmore National Memorial,43.8791025,-103.4590667,SD
Muir Woods National Monument,37.8970199,-122.5811177,CA
Natchez National Historical Park,31.559982,-91.405937,MS
Natchez Trace National Scenic Trail,35.8628268,-87.0407637,TN
Natchez Trace Parkway,33.057841,-89.58895,MS
National Capital Parks,38.8659202,-76.9938371,DC
National Mall and Memorial Parks,38.8818205,-77.0325062,DC
National Park of American Samoa,-14.2583333,-170.6833333,AS
National Underground Railroad: Network To Freedom,39.097624,-84.511239,OH
Natural Bridges National Monument,37.604056,-110.0052043,UT
Navajo National Monument,36.681999,-110.5328509,AZ
New Bedford Whaling National Historical Park,41.6356968,-70.9239528,MA
New Orleans Jazz National Historical Park,29.9584334,-90.0607914,LA
New River Gorge National River,37.8696793,-81.0458005,WV
Nez Perce National Historical Park,46.4475305,-116.8227368,ID
Nicodemus National Historic Site,39.3932342,-99.6147017,KS
Ninety Six National Historic Site,34.1467219,-82.0235684,SC
Niobrara National Scenic River,42.868171,-100.5531366,NE
Noatak National Preserve,67.6448536,-162.1650465,AK
North Cascades National Park,48.7718174,-121.2984648,WA
Obed Wild and Scenic River,36.1061527,-84.5984527,TN
Ocmulgee National Monument,32.84254,-83.6038269,GA
Old Spanish National Historic Trail,38.5243483,-109.5174539,UT
Olympic National Park,47.8021067,-123.6043524,WA
Oregon Caves National Monument,42.0997495,-123.4100271,OR
Organ Pipe Cactus National Monument,32.0877596,-112.9058802,AZ
Overmountain Victory National Historic Trail,35.1418774,-81.3448866,SC
Ozark National Scenic Riverways,37.000729,-91.0161596,MO
Padre Island National Seashore,27.4241558,-97.2991836,TX
Palo Alto Battlefield National Historical Park,26.0167821,-97.4790262,TX
Paterson Great Falls National Historical Park,40.9172641,-74.1811892,NJ
Pea Ridge National Military Park,36.4437655,-94.025807,AR
Pecos National Historical Park,35.5502861,-105.6878211,NM
Pennsylvania Avenue National Historic Site,38.8935872,-77.0236766,DC
Perry's Victory & International Peace Memorial,41.654111,-82.811331,OH
Petersburg National Battlefield,37.2438545,-77.3568983,VA
Petrified Forest National Park,34.9099897,-109.8067916,AZ
Petroglyph National Monument,35.1367817,-106.7405057,NM
Pictured Rocks National Lakeshore,46.5614384,-86.3213064,MI
Pinelands National Reserve,39.964318,-74.628566,NJ
Pinnacles National Park,36.4905655,-121.1824925,CA
Pipe Spring National Monument,36.8628913,-112.7397318,AZ
Pipestone National Monument,44.0136491,-96.3247472,MN
Piscataway Park,38.6923015,-77.0692849,MD
Point Reyes National Seashore,38.0722847,-122.8817367,CA
Port Chicago Naval Magazine National Memorial,38.0575024,-122.0297304,CA
Potomac Heritage National Scenic Trail,39.0618682,-77.385523,MD
Poverty Point National Monument,32.6361602,-91.403265,LA
President William Jefferson Clinton Birthplace Home National Historic Site,33.6672488,-93.5965425,AR
Prince William Forest Park,38.5910053,-77.3828498,VA
Pu'uhonua O Hōnaunau National Historical Park,19.4215385,-155.9105253,HI
Pu'ukohola Heiau National Historic Site,20.0256181,-155.8217812,HI
Pullman National Monument,41.6913381,-87.6096764,IL
Rainbow Bridge National Monument,37.0774203,-110.964382,UT
Reconstruction Era National Monument,32.3885143,-80.5768418,SC
Redwood National Park,41.2131788,-124.0046275,CA
Richmond National Battlefield Park,37.535554,-77.445781,VA
Rio Grande Wild & Scenic River,29.3181941,-103.2080104,TX
River Raisin National Battlefield Park,41.9112005,-83.3767265,MI
Rock Creek Park,38.9358578,-77.0491147,DC
Rocky Mountain National Park,40.3427932,-105.6836389,CO
Roger Williams National Memorial,41.8313318,-71.4107403,RI
Roosevelt Campobello International Park,44.8546194,-66.9510241,ME
Rosie the Riveter WWII / Home Front National Historical Park,37.9096978,-122.357202,CA
Ross Lake National Recreation Area,48.6998733,-121.0198366,WA
Russell Cave National Monument,34.9764537,-85.8142571,AL
Sagamore Hill National Historic Site,40.8855293,-73.5010296,NY
Saguaro National Park,32.2967359,-111.166615,AZ
Saint Croix Island International Historic Site,45.1278746,-67.1334319,ME
Saint Croix National Scenic Riverway,45.4162087,-92.6467858,WI
Saint Paul's Church National Historic Site,40.893383,-73.82577,NY
Saint-Gaudens National Historic Site,43.5010949,-72.3687458,NH
Salem Maritime National Historic Site,42.5213163,-70.8866429,MA
Salinas Pueblo Missions National Monument,34.2595807,-106.0932504,NM
Salt River Bay National Historic Park and Ecological Preserve,17.7799264,-64.7615281,VI
San Antonio Missions National Historical Park,29.361157,-98.478431,TX
San Francisco Maritime National Historical Park,37.807743,-122.42415,CA
San Juan Island National Historical Park,48.4550358,-122.9773066,WA
San Juan National Historic Site,18.4686841,-66.1207495,PR
Sand Creek Massacre National Historic Site,38.5447972,-102.5038001,CO
Santa Fe National Historic Trail,35.6673056,-105.9226277,NM
Santa Monica Mountains National Recreation Area,34.07535,-118.797462,CA
Saratoga National Historical Park,43.0123082,-73.6488883,NY
Saugus Iron Works National Historic Site,42.4679503,-71.0081272,MA
Scotts Bluff National Monument,41.8358432,-103.7080622,NE
Selma to Montgomery National Historic Trail,32.2710194,-86.7281203,AL
Sequoia and Kings Canyon National Parks,36.5647207,-118.7727191,CA
Shenandoah National Park,38.2927558,-78.6795836,VA
Shiloh National Military Park,35.142937,-88.3408499,TN
Sitka National Historical Park,57.0489284,-135.3159066,AK
Sleeping Bear Dunes National Lakeshore,44.8757238,-85.9996747,MI
Springfield Armory National Historic Site,42.1072695,-72.5815738,MA
Statue of Liberty National Monument,40.6892494,-74.0445004,NY
Steamtown National Historic Site,41.4079058,-75.6720114,PA
Stones River National Battlefield,35.8731131,-86.43469,TN
Stonewall National Monument,40.7335741,-74.0023335,NY
Sunset Crater Volcano National Monument,35.3641752,-111.5040458,AZ
Tallgrass Prairie National Preserve,38.4426255,-96.5730004,KS
Thaddeus Kosciuszko National Memorial,39.9434638,-75.1472783,PA
The White House and President's Park,38.8957766,-77.0371152,DC
Theodore Roosevelt Birthplace National Historic Site,40.7386331,-73.9890521,NY
Theodore Roosevelt Inaugural National Historic Site,42.9015559,-78.8726139,NY
Theodore Roosevelt Island National Memorial,38.8966824,-77.063008,DC
Theodore Roosevelt National Park,46.978965,-103.5387091,ND
Thomas Edison National Historical Park,40.7839978,-74.2340291,NJ
Thomas Jefferson Memorial,38.8813806,-77.0364536,DC
Thomas Stone National Historic Site,38.530233,-77.0360161,MD
Timpanogos Cave National Monument,40.4405549,-111.7094462,UT
Timucuan Ecological and Historic Preserve,30.4544578,-81.4498717,FL
Tonto National Monument,33.6452781,-111.1126846,AZ
Touro Synagogue National Historic Site,41.4894499,-71.3119682,RI
Trail Of Tears National Historic Trail ,35.5134852,-95.1354271,OK
Tule Springs Fossil Beds National Monument,36.3359873,-115.2790438,NV
Tumacacori National Historical Park,31.5678197,-111.0510277,AZ
Tupelo National Battlefield,34.2556549,-88.7372209,MS
Tuskegee Airmen National Historic Site,32.4572441,-85.680363,AL
Tuskegee Institute National Historic Site,32.4294826,-85.7048243,AL
Tuzigoot National Monument,34.7728265,-112.0293134,AZ
Ulysses S Grant National Historic Site,38.5512142,-90.3519379,MO
Upper Delaware Scenic & Recreational River,41.6264712,-75.0501317,PA
Valles Caldera National Preserve,35.832105,-106.487006,NM
Valley Forge National Historical Park,40.1017506,-75.446922,PA
Vanderbilt Mansion National Historic Site,41.7963461,-73.9423869,NY
Vicksburg National Military Park,32.3548532,-90.8452588,MS
Vietnam Veterans Memorial,38.8912933,-77.0477132,DC
Virgin Islands Coral Reef National Monument,18.2674276,-64.7043882,VI
Virgin Islands National Park,18.3424047,-64.7485759,VI
Voyageurs National Park,48.4840955,-92.8270873,MN
Waco Mammoth National Monument,31.606725,-97.1759704,TX
Walnut Canyon National Monument,35.207746,-111.517204,AZ
War In The Pacific National Historical Park,13.4737049,144.7090803,GU
Washington Monument,38.8894838,-77.0352791,DC
Washita Battlefield National Historic Site,35.6199266,-99.7051547,OK
Weir Farm National Historic Site,41.2565181,-73.4564023,CT
Whiskeytown National Recreation Area,40.6106256,-122.5280369,CA
White Sands National Monument,32.7872403,-106.3256816,NM
Whitman Mission National Historic Site,46.0413251,-118.4639177,WA
William Howard Taft National Historic Site,39.1198118,-84.5082153,OH
Wilson's Creek National Battlefield,37.1157835,-93.4190375,MO
Wind Cave National Park,43.6045811,-103.4213433,SD
Wolf Trap National Park for the Performing Arts,38.9378645,-77.2653551,VA
Women's Rights National Historical Park,42.910773,-76.800178,NY
World War I National Memorial,38.8959919,-77.033058,DC
World War II Memorial,38.8894206,-77.0404978,DC
World War II Valor in the Pacific National Monument,21.3648525,-157.9499523,HI
Wrangell - St Elias National Park and Preserve,61.7104448,-142.9856804,AK
Wright Brothers National Memorial,36.0143027,-75.667856,NC
Wupatki National Monument,35.5584745,-111.375095,AZ
Yellowstone National Park,44.427963,-110.588455,MT
Yosemite National Park,37.8651011,-119.5383294,CA
Yucca House National Monument,37.2493159,-108.6865956,CO
Yukon - Charley Rivers National Preserve,65.0000454,-143.5021927,AK
Zion National Park ,37.2982022,-113.0263005,UT